@relation unknow
@attribute 'attribute_1' real [0.0015,0.1371]
@attribute 'attribute_2' real [6.0E-4,0.2339]
@attribute 'attribute_3' real [0.0015,0.3059]
@attribute 'attribute_4' real [0.0058,0.4264]
@attribute 'attribute_5' real [0.0067,0.401]
@attribute 'attribute_6' real [0.0102,0.3823]
@attribute 'attribute_7' real [0.0033,0.3729]
@attribute 'attribute_8' real [0.0055,0.459]
@attribute 'attribute_9' real [0.0075,0.6828]
@attribute 'attribute_10' real [0.0113,0.7106]
@attribute 'attribute_11' real [0.0289,0.7342]
@attribute 'attribute_12' real [0.0236,0.706]
@attribute 'attribute_13' real [0.0184,0.7131]
@attribute 'attribute_14' real [0.0273,0.997]
@attribute 'attribute_15' real [0.0031,1.0]
@attribute 'attribute_16' real [0.0162,0.9988]
@attribute 'attribute_17' real [0.0349,1.0]
@attribute 'attribute_18' real [0.0375,1.0]
@attribute 'attribute_19' real [0.0494,1.0]
@attribute 'attribute_20' real [0.0656,1.0]
@attribute 'attribute_21' real [0.0512,1.0]
@attribute 'attribute_22' real [0.0219,1.0]
@attribute 'attribute_23' real [0.0563,1.0]
@attribute 'attribute_24' real [0.0239,1.0]
@attribute 'attribute_25' real [0.024,1.0]
@attribute 'attribute_26' real [0.0921,1.0]
@attribute 'attribute_27' real [0.0481,1.0]
@attribute 'attribute_28' real [0.0284,1.0]
@attribute 'attribute_29' real [0.0144,1.0]
@attribute 'attribute_30' real [0.0613,1.0]
@attribute 'attribute_31' real [0.0482,0.9657]
@attribute 'attribute_32' real [0.0404,0.9306]
@attribute 'attribute_33' real [0.0477,1.0]
@attribute 'attribute_34' real [0.0212,0.9647]
@attribute 'attribute_35' real [0.0223,1.0]
@attribute 'attribute_36' real [0.0080,1.0]
@attribute 'attribute_37' real [0.0351,0.9497]
@attribute 'attribute_38' real [0.0383,1.0]
@attribute 'attribute_39' real [0.0371,0.9857]
@attribute 'attribute_40' real [0.0117,0.9297]
@attribute 'attribute_41' real [0.036,0.8995]
@attribute 'attribute_42' real [0.0056,0.8246]
@attribute 'attribute_43' real [0.0,0.7733]
@attribute 'attribute_44' real [0.0,0.7762]
@attribute 'attribute_45' real [0.0,0.7034]
@attribute 'attribute_46' real [0.0,0.7292]
@attribute 'attribute_47' real [0.0,0.5522]
@attribute 'attribute_48' real [0.0,0.3339]
@attribute 'attribute_49' real [0.0,0.1981]
@attribute 'attribute_50' real [0.0,0.0825]
@attribute 'attribute_51' real [0.0,0.1004]
@attribute 'attribute_52' real [8.0E-4,0.0709]
@attribute 'attribute_53' real [5.0E-4,0.039]
@attribute 'attribute_54' real [0.0010,0.0352]
@attribute 'attribute_55' real [6.0E-4,0.0447]
@attribute 'attribute_56' real [4.0E-4,0.0394]
@attribute 'attribute_57' real [3.0E-4,0.0355]
@attribute 'attribute_58' real [3.0E-4,0.044]
@attribute 'attribute_59' real [1.0E-4,0.0364]
@attribute 'attribute_60' real [6.0E-4,0.0439]
@attribute 'Class' {Rock,Mine}
@data
0.027,0.0163,0.0341,0.0247,0.0822,0.1256,0.1323,0.1584,0.2017,0.2122,0.221,0.2399,0.2964,0.4061,0.5095,0.5512,0.6613,0.6804,0.652,0.6788,0.7811,0.8369,0.8969,0.9856,1.0,0.9395,0.8917,0.8105,0.6828,0.5572,0.4301,0.3339,0.2035,0.0798,0.0809,0.1525,0.2626,0.2456,0.198,0.2412,0.2409,0.1901,0.2077,0.1767,0.1119,0.0779,0.1344,0.096,0.0598,0.033,0.0197,0.0189,0.0204,0.0085,0.0043,0.0092,0.0138,0.0094,0.0105,0.0093,Mine
0.0209,0.0261,0.012,0.0768,0.1064,0.168,0.3016,0.346,0.3314,0.4125,0.3943,0.1334,0.4622,0.997,0.9137,0.8292,0.6994,0.7825,0.8789,0.8501,0.892,0.9473,1.0,0.8975,0.7806,0.8321,0.6502,0.4548,0.4732,0.3391,0.2747,0.0978,0.0477,0.1403,0.1834,0.2148,0.1271,0.1912,0.3391,0.3444,0.2369,0.1195,0.2665,0.2587,0.1393,0.1083,0.1383,0.1321,0.1069,0.0325,0.0316,0.0057,0.0159,0.0085,0.0372,0.0101,0.0127,0.0288,0.0129,0.0023,Mine
0.115,0.1163,0.0866,0.0358,0.0232,0.1267,0.2417,0.2661,0.4346,0.5378,0.3816,0.0991,0.0616,0.1795,0.3907,0.3602,0.3041,0.2428,0.406,0.8395,0.9777,0.468,0.061,0.2143,0.1348,0.2854,0.1617,0.2649,0.4565,0.6502,0.2848,0.3296,0.537,0.6627,0.8626,0.8547,0.7848,0.9016,0.8827,0.6086,0.281,0.0906,0.1177,0.2694,0.5214,0.4232,0.234,0.1928,0.1092,0.0507,0.0228,0.0099,0.0065,0.0085,0.0166,0.011,0.019,0.0141,0.0068,0.0086,Mine
0.0707,0.1252,0.1447,0.1644,0.1693,0.0844,0.0715,0.0947,0.1583,0.1247,0.234,0.1764,0.2284,0.3115,0.4725,0.5543,0.5386,0.3746,0.4583,0.5961,0.7464,0.7644,0.5711,0.6257,0.6695,0.7131,0.7567,0.8077,0.8477,0.9289,0.9513,0.7995,0.4362,0.4048,0.4952,0.1712,0.3652,0.3763,0.2841,0.0427,0.5331,0.6952,0.4288,0.3063,0.5835,0.5692,0.263,0.1196,0.0983,0.0374,0.0291,0.0156,0.0197,0.0135,0.0127,0.0138,0.0133,0.0131,0.0154,0.0218,Mine
0.0721,0.1574,0.1112,0.1085,0.0666,0.18,0.1108,0.2794,0.1408,0.0795,0.2534,0.392,0.3375,0.161,0.1889,0.3308,0.2282,0.2177,0.1853,0.5167,0.5342,0.6298,0.8437,0.6756,0.5825,0.6141,0.8809,0.8375,0.3869,0.5051,0.5455,0.4241,0.1534,0.495,0.6983,0.7109,0.5647,0.487,0.5515,0.4433,0.525,0.6075,0.5251,0.1359,0.4268,0.4442,0.2193,0.09,0.12,0.0628,0.0234,0.0309,0.0127,0.0082,0.0281,0.0117,0.0092,0.0147,0.0157,0.0129,Mine
0.1021,0.083,0.0577,0.0627,0.0635,0.1328,0.0988,0.1787,0.1199,0.1369,0.2509,0.2631,0.2796,0.2977,0.3823,0.3129,0.3956,0.2093,0.3218,0.3345,0.3184,0.2887,0.361,0.2566,0.4106,0.4591,0.4722,0.7278,0.7591,0.6579,0.7514,0.6666,0.4903,0.5962,0.6552,0.4014,0.1188,0.3245,0.3107,0.1354,0.5109,0.7988,0.7517,0.5508,0.5858,0.7292,0.5522,0.3339,0.1608,0.0475,0.1004,0.0709,0.0317,0.0309,0.0252,0.0087,0.0177,0.0214,0.0227,0.0106,Mine
0.0072,0.0027,0.0089,0.0061,0.042,0.0865,0.1182,0.0999,0.1976,0.2318,0.2472,0.288,0.2126,0.0708,0.1194,0.2808,0.4221,0.5279,0.5857,0.6153,0.6753,0.7873,0.8974,0.9828,1.0,0.846,0.6055,0.3036,0.0144,0.2526,0.4335,0.4918,0.5409,0.5961,0.5248,0.3777,0.2369,0.172,0.1878,0.325,0.2575,0.2423,0.2706,0.2323,0.1724,0.1457,0.1175,0.0868,0.0392,0.0131,0.0092,0.0078,0.0071,0.0081,0.0034,0.0064,0.0037,0.0036,0.0012,0.0037,Mine
0.013,0.012,0.0436,0.0624,0.0428,0.0349,0.0384,0.0446,0.1318,0.1375,0.2026,0.2389,0.2112,0.1444,0.0742,0.1533,0.3052,0.4116,0.5466,0.5933,0.6663,0.7333,0.7136,0.7014,0.7758,0.9137,0.9964,1.0,0.8881,0.6585,0.2707,0.1746,0.2709,0.4853,0.7184,0.8209,0.7536,0.6496,0.4708,0.3482,0.3508,0.3181,0.3524,0.3659,0.2846,0.1714,0.0694,0.0303,0.0292,0.0116,0.0024,0.0084,0.01,0.0018,0.0035,0.0058,0.0011,9.0E-4,0.0033,0.0026,Mine
0.018,0.0444,0.0476,0.0698,0.1615,0.0887,0.0596,0.1071,0.3175,0.2918,0.3273,0.3035,0.3033,0.2587,0.1682,0.1308,0.2803,0.4519,0.6641,0.7683,0.696,0.4393,0.2432,0.2886,0.4974,0.8172,1.0,0.9238,0.8519,0.7722,0.5772,0.519,0.6824,0.622,0.5054,0.3578,0.3809,0.3813,0.3359,0.2771,0.3648,0.3834,0.3453,0.2096,0.1031,0.0798,0.0701,0.0526,0.0241,0.0117,0.0122,0.0122,0.0114,0.0098,0.0027,0.0025,0.0026,0.0050,0.0073,0.0022,Mine
0.0096,0.0404,0.0682,0.0688,0.0887,0.0932,0.0955,0.214,0.2546,0.2952,0.4025,0.5148,0.4901,0.4127,0.3575,0.3447,0.3068,0.2945,0.4351,0.7264,0.8147,0.8103,0.6665,0.6958,0.7748,0.8688,1.0,0.9941,0.8793,0.6482,0.5876,0.6408,0.4972,0.2755,0.03,0.3356,0.3167,0.4133,0.6281,0.4977,0.2613,0.4697,0.4806,0.4921,0.5294,0.2216,0.1401,0.1888,0.0947,0.0134,0.031,0.0237,0.0078,0.0144,0.017,0.0012,0.0109,0.0036,0.0043,0.0018,Mine
0.0116,0.0744,0.0367,0.0225,0.0076,0.0545,0.111,0.1069,0.1708,0.2271,0.3171,0.2882,0.2657,0.2307,0.1889,0.1791,0.2298,0.3715,0.6223,0.726,0.7934,0.8045,0.8067,0.9173,0.9327,0.9562,1.0,0.9818,0.8684,0.6381,0.3997,0.3242,0.2835,0.2413,0.2321,0.126,0.0693,0.0701,0.1439,0.1475,0.0438,0.0469,0.1476,0.1742,0.1555,0.1651,0.1181,0.072,0.0321,0.0056,0.0202,0.0141,0.0103,0.01,0.0034,0.0026,0.0037,0.0044,0.0057,0.0035,Mine
