@relation unknow
@attribute 'attribute_1' real [0.0015,0.1371]
@attribute 'attribute_2' real [6.0E-4,0.2339]
@attribute 'attribute_3' real [0.0015,0.3059]
@attribute 'attribute_4' real [0.0058,0.4264]
@attribute 'attribute_5' real [0.0067,0.401]
@attribute 'attribute_6' real [0.0102,0.3823]
@attribute 'attribute_7' real [0.0033,0.3729]
@attribute 'attribute_8' real [0.0055,0.459]
@attribute 'attribute_9' real [0.0075,0.6828]
@attribute 'attribute_10' real [0.0113,0.7106]
@attribute 'attribute_11' real [0.0289,0.7342]
@attribute 'attribute_12' real [0.0236,0.706]
@attribute 'attribute_13' real [0.0184,0.7131]
@attribute 'attribute_14' real [0.0273,0.997]
@attribute 'attribute_15' real [0.0031,1.0]
@attribute 'attribute_16' real [0.0162,0.9988]
@attribute 'attribute_17' real [0.0349,1.0]
@attribute 'attribute_18' real [0.0375,1.0]
@attribute 'attribute_19' real [0.0494,1.0]
@attribute 'attribute_20' real [0.0656,1.0]
@attribute 'attribute_21' real [0.0512,1.0]
@attribute 'attribute_22' real [0.0219,1.0]
@attribute 'attribute_23' real [0.0563,1.0]
@attribute 'attribute_24' real [0.0239,1.0]
@attribute 'attribute_25' real [0.024,1.0]
@attribute 'attribute_26' real [0.0921,1.0]
@attribute 'attribute_27' real [0.0481,1.0]
@attribute 'attribute_28' real [0.0284,1.0]
@attribute 'attribute_29' real [0.0144,1.0]
@attribute 'attribute_30' real [0.0613,1.0]
@attribute 'attribute_31' real [0.0482,0.9657]
@attribute 'attribute_32' real [0.0404,0.9306]
@attribute 'attribute_33' real [0.0477,1.0]
@attribute 'attribute_34' real [0.0212,0.9647]
@attribute 'attribute_35' real [0.0223,1.0]
@attribute 'attribute_36' real [0.0080,1.0]
@attribute 'attribute_37' real [0.0351,0.9497]
@attribute 'attribute_38' real [0.0383,1.0]
@attribute 'attribute_39' real [0.0371,0.9857]
@attribute 'attribute_40' real [0.0117,0.9297]
@attribute 'attribute_41' real [0.036,0.8995]
@attribute 'attribute_42' real [0.0056,0.8246]
@attribute 'attribute_43' real [0.0,0.7733]
@attribute 'attribute_44' real [0.0,0.7762]
@attribute 'attribute_45' real [0.0,0.7034]
@attribute 'attribute_46' real [0.0,0.7292]
@attribute 'attribute_47' real [0.0,0.5522]
@attribute 'attribute_48' real [0.0,0.3339]
@attribute 'attribute_49' real [0.0,0.1981]
@attribute 'attribute_50' real [0.0,0.0825]
@attribute 'attribute_51' real [0.0,0.1004]
@attribute 'attribute_52' real [8.0E-4,0.0709]
@attribute 'attribute_53' real [5.0E-4,0.039]
@attribute 'attribute_54' real [0.0010,0.0352]
@attribute 'attribute_55' real [6.0E-4,0.0447]
@attribute 'attribute_56' real [4.0E-4,0.0394]
@attribute 'attribute_57' real [3.0E-4,0.0355]
@attribute 'attribute_58' real [3.0E-4,0.044]
@attribute 'attribute_59' real [1.0E-4,0.0364]
@attribute 'attribute_60' real [6.0E-4,0.0439]
@attribute 'Class' {Rock,Mine}
@data
0.0307,0.0523,0.0653,0.0521,0.0611,0.0577,0.0665,0.0664,0.146,0.2792,0.3877,0.4992,0.4981,0.4972,0.5607,0.7339,0.823,0.9173,0.9975,0.9911,0.824,0.6498,0.598,0.4862,0.315,0.1543,0.0989,0.0284,0.1008,0.2636,0.2694,0.293,0.2925,0.3998,0.366,0.3172,0.4609,0.4374,0.182,0.3376,0.6202,0.4448,0.1863,0.142,0.0589,0.0576,0.0672,0.0269,0.0245,0.019,0.0063,0.0321,0.0189,0.0137,0.0277,0.0152,0.0052,0.0121,0.0124,0.0055,Mine
0.0414,0.0436,0.0447,0.0844,0.0419,0.1215,0.2002,0.1516,0.0818,0.1975,0.2309,0.3025,0.3938,0.505,0.5872,0.661,0.7417,0.8006,0.8456,0.7939,0.8804,0.8384,0.7852,0.8479,0.7434,0.6433,0.5514,0.3519,0.3168,0.3346,0.2056,0.1032,0.3168,0.404,0.4282,0.4538,0.3704,0.3741,0.3839,0.3494,0.438,0.4265,0.2854,0.2808,0.2395,0.0369,0.0805,0.0541,0.0177,0.0065,0.0222,0.0045,0.0136,0.0113,0.0053,0.0165,0.0141,0.0077,0.0246,0.0198,Mine
0.1088,0.1278,0.0926,0.1234,0.1276,0.1731,0.1948,0.4262,0.6828,0.5761,0.4733,0.2362,0.1023,0.2904,0.4713,0.4659,0.1415,0.0849,0.3257,0.9007,0.9312,0.4856,0.1346,0.1604,0.2737,0.5609,0.3654,0.6139,0.547,0.8474,0.5638,0.5443,0.5086,0.6253,0.8497,0.8406,0.842,0.9136,0.7713,0.4882,0.3724,0.4469,0.4586,0.4491,0.5616,0.4305,0.0945,0.0794,0.0274,0.0154,0.014,0.0455,0.0213,0.0082,0.0124,0.0167,0.0103,0.0205,0.0178,0.0187,Mine
0.0654,0.0649,0.0737,0.1132,0.2482,0.1257,0.1797,0.0989,0.246,0.3422,0.2128,0.1377,0.4032,0.5684,0.2398,0.4331,0.5954,0.5772,0.8176,0.8835,0.5248,0.6373,0.8375,0.6699,0.7756,0.875,0.83,0.6896,0.3372,0.6405,0.7138,0.8202,0.6657,0.5254,0.296,0.0704,0.097,0.3941,0.6028,0.3521,0.3924,0.4808,0.4602,0.4164,0.5438,0.5649,0.3195,0.2484,0.1299,0.0825,0.0243,0.021,0.0361,0.0239,0.0447,0.0394,0.0355,0.044,0.0243,0.0098,Mine
0.0107,0.0453,0.0289,0.0713,0.1075,0.1019,0.1606,0.2119,0.3061,0.2936,0.3104,0.3431,0.2456,0.1887,0.1184,0.208,0.2736,0.3274,0.2344,0.126,0.0576,0.1241,0.3239,0.4357,0.5734,0.7825,0.9252,0.9349,0.9348,1.0,0.9308,0.8478,0.7605,0.704,0.7539,0.799,0.7673,0.5955,0.4731,0.484,0.434,0.3954,0.4837,0.5379,0.4485,0.2674,0.1541,0.1359,0.0941,0.0261,0.0079,0.0164,0.012,0.0113,0.0021,0.0097,0.0072,0.0060,0.0017,0.0036,Mine
0.0179,0.0136,0.0408,0.0633,0.0596,0.0808,0.209,0.3465,0.5276,0.5965,0.6254,0.4507,0.3693,0.2864,0.1635,0.0422,0.1785,0.4394,0.695,0.8097,0.855,0.8717,0.8601,0.9201,0.8729,0.8084,0.8694,0.8411,0.5793,0.3754,0.3485,0.4639,0.6495,0.6901,0.5666,0.5188,0.506,0.3885,0.3762,0.3738,0.2605,0.1591,0.1875,0.2267,0.1577,0.1211,0.0883,0.085,0.0355,0.0219,0.0086,0.0123,0.0060,0.0187,0.0111,0.0126,0.0081,0.0155,0.016,0.0085,Mine
0.0423,0.0321,0.0709,0.0108,0.107,0.0973,0.0961,0.1323,0.2462,0.2696,0.3412,0.4292,0.3682,0.394,0.2965,0.3172,0.2825,0.305,0.2408,0.542,0.6802,0.632,0.5824,0.6805,0.5984,0.8412,0.9911,0.9187,0.8005,0.6713,0.5632,0.7332,0.6038,0.2575,0.0349,0.1799,0.3039,0.476,0.5756,0.4254,0.5046,0.7179,0.6163,0.5663,0.5749,0.3593,0.2526,0.2299,0.1271,0.0356,0.0367,0.0176,0.0035,0.0093,0.0121,0.0075,0.0056,0.0021,0.0043,0.0017,Mine
0.0089,0.0274,0.0248,0.0237,0.0224,0.0845,0.1488,0.1224,0.1569,0.2119,0.3003,0.3094,0.2743,0.2547,0.187,0.1452,0.1457,0.2429,0.3259,0.3679,0.3355,0.31,0.3914,0.528,0.6409,0.7707,0.8754,1.0,0.9806,0.6969,0.4973,0.502,0.5359,0.3842,0.1848,0.1149,0.157,0.1311,0.1583,0.2631,0.3103,0.4512,0.3785,0.1269,0.1459,0.1092,0.1485,0.1385,0.0716,0.0176,0.0199,0.0096,0.0103,0.0093,0.0025,0.0044,0.0021,0.0069,0.0060,0.0018,Mine
0.0129,0.0141,0.0309,0.0375,0.0767,0.0787,0.0662,0.1108,0.1777,0.2245,0.2431,0.3134,0.3206,0.2917,0.2249,0.2347,0.2143,0.2939,0.4898,0.6127,0.7531,0.7718,0.7432,0.8673,0.9308,0.9836,1.0,0.9595,0.8722,0.6862,0.4901,0.328,0.3115,0.1969,0.1019,0.0317,0.0756,0.0907,0.1066,0.138,0.0665,0.1475,0.247,0.2788,0.2709,0.2283,0.1818,0.1185,0.0546,0.0219,0.0204,0.0124,0.0093,0.0072,0.0019,0.0027,0.0054,0.0017,0.0024,0.0029,Mine
0.0187,0.0346,0.0168,0.0177,0.0393,0.163,0.2028,0.1694,0.2328,0.2684,0.3108,0.2933,0.2275,0.0994,0.1801,0.22,0.2732,0.2862,0.2034,0.174,0.413,0.6879,0.812,0.8453,0.8919,0.93,0.9987,1.0,0.8104,0.6199,0.6041,0.5547,0.416,0.1472,0.0849,0.0608,0.0969,0.1411,0.1676,0.12,0.1201,0.1036,0.1977,0.1339,0.0902,0.1085,0.1521,0.1363,0.0858,0.029,0.0203,0.0116,0.0098,0.0199,0.0033,0.0101,0.0065,0.0115,0.0193,0.0157,Mine
0.0522,0.0437,0.018,0.0292,0.0351,0.1171,0.1257,0.1178,0.1258,0.2529,0.2716,0.2374,0.1878,0.0983,0.0683,0.1503,0.1723,0.2339,0.1962,0.1395,0.3164,0.5888,0.7631,0.8473,0.9424,0.9986,0.9699,1.0,0.863,0.6979,0.7717,0.7305,0.5197,0.1786,0.1098,0.1446,0.1066,0.144,0.1929,0.0325,0.149,0.0328,0.0537,0.1309,0.091,0.0757,0.1059,0.1005,0.0535,0.0235,0.0155,0.016,0.0029,0.0051,0.0062,0.0089,0.014,0.0138,0.0077,0.0031,Mine
