
@relation cmc

@attribute age real
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute child real
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-standard {1,2,3,4}
@attribute media {0,1}
@attribute class {1,2,3}

@data
36,1,1,5,1,1,3,3,0,3
32,4,4,2,1,0,3,4,0,3
25,3,3,3,1,1,3,3,0,3
17,2,2,0,1,0,3,2,0,3
19,4,4,1,1,1,1,3,0,3
32,4,4,4,1,1,1,3,0,3
28,4,4,2,1,1,1,4,0,3
35,2,3,6,1,1,2,3,0,3
27,3,4,4,1,1,3,3,0,3
29,3,3,1,1,1,3,3,0,3
34,4,4,2,0,0,2,4,0,3
37,3,4,3,0,1,3,4,0,3
37,2,3,6,1,1,3,4,0,3
25,1,2,3,1,1,2,3,0,3
23,2,2,1,1,1,2,4,0,3
25,4,4,2,1,1,1,2,0,3
36,1,2,4,1,1,3,1,1,3
41,3,3,7,0,1,2,4,0,3
45,3,4,2,0,1,3,3,0,3
36,1,3,6,1,1,3,2,0,3
21,3,3,1,0,1,3,2,0,3
37,2,4,4,1,0,2,3,0,3
37,2,3,5,1,1,4,2,0,3
27,4,4,4,1,1,1,2,1,3
26,2,3,2,1,1,2,3,0,3
39,4,4,3,1,0,1,4,0,3
21,3,2,1,1,1,3,1,1,3
35,1,2,5,1,1,2,2,1,3
25,4,4,1,1,1,1,4,0,3
17,3,4,1,1,1,3,3,0,3
46,1,2,9,1,0,3,4,1,3
35,2,3,6,1,0,3,2,0,3
22,3,4,2,1,1,2,4,0,3
40,3,4,3,1,0,1,4,0,3
22,4,4,1,1,0,2,4,0,3
19,4,4,1,1,1,2,4,0,3
37,2,3,9,1,1,3,3,0,3
33,3,4,4,1,1,3,3,0,3
29,2,3,3,1,0,3,2,0,3
21,3,3,1,1,1,3,2,0,3
28,1,3,5,1,1,3,4,0,3
24,3,4,4,1,1,3,1,0,3
21,3,3,1,1,1,3,3,0,3
41,4,4,1,1,1,3,3,0,3
26,4,4,1,1,0,2,4,0,3
28,2,3,6,1,1,2,4,0,3
37,4,4,7,1,1,1,4,0,2
28,3,3,3,1,1,1,2,0,2
28,4,4,2,1,0,1,3,0,2
44,4,4,4,1,1,1,4,0,2
32,3,4,5,1,1,1,2,0,2
25,4,4,2,1,1,2,4,0,2
38,4,4,2,1,1,1,4,0,2
48,4,4,3,0,1,1,4,0,2
45,3,3,8,1,1,2,3,0,2
32,4,4,2,0,0,1,4,0,2
47,4,4,8,1,1,1,4,0,2
39,3,4,5,1,1,3,4,0,2
23,4,4,1,1,0,3,4,0,2
43,4,4,5,0,1,1,4,0,2
33,2,3,5,1,0,2,1,0,2
41,3,3,5,1,1,1,4,0,2
44,4,4,3,1,0,1,4,0,2
38,4,4,6,1,1,1,4,0,2
34,4,4,2,0,0,3,2,0,2
41,4,4,4,0,0,2,4,0,2
43,3,4,2,1,0,2,4,0,2
29,4,4,2,1,1,3,4,0,2
24,4,4,1,1,1,3,2,0,2
36,4,4,3,1,1,3,3,0,2
38,4,4,5,1,1,1,3,0,2
36,3,4,7,1,1,2,2,0,2
26,4,4,1,0,1,2,4,0,2
30,4,1,4,1,1,3,3,0,2
37,2,3,7,1,1,3,4,0,2
24,4,4,1,1,1,1,4,0,2
45,4,4,3,0,1,2,4,0,2
26,2,2,4,1,1,3,4,0,2
34,4,4,3,1,1,1,4,0,2
30,2,2,7,1,1,3,4,0,2
