
@relation cmc

@attribute age real
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute child real
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-standard {1,2,3,4}
@attribute media {0,1}
@attribute class {1,2,3}

@data
29,3,4,2,1,1,1,4,0,2
40,4,4,6,1,1,1,3,0,2
47,4,4,4,0,1,2,4,0,2
39,4,4,3,1,1,1,4,0,2
37,4,4,3,1,1,1,4,0,2
46,4,4,4,1,1,1,4,0,2
29,4,4,2,1,0,1,3,0,2
44,4,4,7,1,1,2,4,0,2
25,3,1,2,1,0,3,4,0,2
38,4,4,4,0,0,1,2,0,2
48,4,4,4,0,1,1,4,0,2
33,3,4,5,0,1,3,3,0,2
34,4,4,4,1,1,2,4,0,2
45,4,4,3,1,1,1,4,0,2
32,4,4,2,1,0,1,4,0,2
44,3,3,9,1,1,1,1,0,2
42,4,4,6,1,1,1,3,0,2
32,3,3,6,1,0,3,3,0,2
27,3,2,5,1,1,2,4,0,2
36,3,4,4,0,0,2,4,0,2
33,2,2,3,1,1,2,3,0,2
34,1,2,5,1,1,3,4,0,2
38,2,2,8,1,1,2,2,0,2
35,4,4,5,1,0,1,3,0,2
20,3,4,1,1,1,2,4,0,2
20,3,4,1,1,1,3,2,0,2
38,1,3,4,1,0,2,2,0,1
