
@relation cmc

@attribute age real
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute child real
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-standard {1,2,3,4}
@attribute media {0,1}
@attribute class {1,2,3}

@data
31,2,2,4,1,1,3,3,0,3
31,4,4,2,0,1,1,4,0,3
30,4,4,2,1,1,1,4,0,3
35,4,4,6,1,1,1,4,0,3
32,2,2,6,1,1,2,3,0,3
27,2,4,1,1,1,1,4,0,3
30,3,4,4,1,1,3,3,0,3
33,4,4,4,1,1,2,3,0,3
40,3,4,5,1,1,1,2,0,3
29,2,3,4,1,1,3,2,0,3
25,4,4,2,1,1,2,3,0,3
25,4,4,1,1,1,1,4,0,3
20,3,3,2,1,1,2,2,1,3
35,2,4,6,1,1,3,4,0,3
33,4,4,5,1,1,3,3,0,3
26,3,2,5,1,1,2,2,0,3
22,3,3,3,1,1,3,3,0,3
32,4,3,3,1,1,2,4,0,3
32,2,2,8,1,1,2,1,0,3
17,3,3,1,1,1,2,4,0,3
25,2,3,4,1,1,3,3,0,3
25,2,4,3,1,1,1,3,0,3
35,1,2,5,1,1,3,3,0,3
37,4,4,6,1,0,3,4,0,3
28,4,4,1,1,1,3,2,0,3
32,3,4,5,0,1,3,4,0,3
29,4,4,2,1,1,3,4,0,3
36,2,4,11,1,1,1,4,1,3
24,4,4,1,1,1,1,4,0,3
44,4,4,11,1,1,1,4,0,3
26,3,4,3,1,1,3,3,0,3
33,2,3,4,1,1,2,3,0,3
32,4,4,3,0,1,1,4,0,3
30,3,3,4,1,0,2,2,0,3
41,4,4,5,1,1,1,4,0,3
22,3,4,1,1,1,3,3,0,3
28,4,4,1,0,0,2,4,0,3
44,4,4,4,0,1,2,3,0,3
26,3,3,3,1,1,3,3,0,3
26,2,3,2,1,1,3,3,0,3
21,2,2,1,1,1,4,3,0,3
29,3,4,3,1,1,1,3,0,2
38,4,4,6,1,1,3,3,0,2
24,4,4,1,1,1,1,4,0,2
32,3,3,2,1,0,3,4,0,2
49,3,3,11,1,1,1,4,0,2
26,3,4,3,1,1,3,4,0,2
28,4,4,2,0,1,1,4,0,2
24,4,4,1,1,1,2,4,0,2
21,2,2,1,1,1,3,2,0,2
36,3,2,6,1,1,3,2,0,2
43,2,4,13,1,1,2,3,0,2
23,4,4,1,1,1,3,3,0,2
45,3,3,5,0,1,1,3,0,2
25,3,3,1,1,1,3,1,0,2
34,4,4,5,1,1,3,4,0,2
32,4,4,4,1,1,1,2,0,2
26,1,1,2,1,1,3,4,0,2
26,3,3,2,1,1,3,2,0,2
24,4,4,2,1,0,1,3,0,2
42,4,4,5,1,1,1,4,0,2
27,4,4,3,1,1,1,3,0,2
44,4,4,6,0,1,1,3,0,2
30,3,4,2,1,1,1,4,0,2
43,4,4,6,1,1,1,4,0,2
25,4,4,1,1,1,1,4,0,2
41,4,4,3,1,0,2,3,0,2
41,4,4,4,1,0,1,4,0,2
35,4,4,5,1,1,1,4,0,2
28,2,1,2,1,0,3,3,0,2
36,4,4,4,0,0,1,4,0,2
22,4,4,1,1,0,2,2,0,2
43,1,3,4,1,1,1,4,0,2
33,4,4,3,1,1,1,4,0,2
30,2,3,4,1,0,3,2,0,1
