@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
85,43,66,130,57,6,151,45,19,143,173,333,168,86,4,9,180,183,bus
94,43,68,170,67,6,142,46,18,142,164,310,177,65,10,8,198,203,bus
93,49,79,180,65,7,173,37,21,158,189,463,194,70,5,10,197,202,bus
97,45,72,187,71,5,161,40,20,144,178,399,186,70,7,7,196,203,bus
93,45,86,201,69,7,184,35,22,145,203,523,183,72,0,4,194,197,bus
85,41,66,155,65,22,149,45,19,139,173,330,155,75,6,16,184,191,bus
82,44,72,150,64,7,154,44,19,144,181,350,177,80,0,16,183,187,bus
99,51,92,203,65,5,209,31,24,159,232,671,214,78,5,11,191,189,bus
100,48,95,209,68,7,199,32,23,150,216,605,200,73,7,11,192,194,bus
92,37,75,184,70,6,154,42,19,131,184,363,127,71,0,4,198,202,bus
84,43,70,123,54,8,151,45,19,146,173,332,176,81,1,12,181,184,bus
91,40,76,171,67,7,149,44,19,135,169,332,144,68,4,17,192,200,bus
81,44,68,120,53,6,151,45,19,147,170,333,178,86,4,5,179,183,bus
85,42,64,121,55,7,149,46,19,146,167,323,172,85,1,6,179,182,bus
102,45,85,193,64,6,192,33,22,146,217,570,163,76,6,7,195,193,bus
83,46,73,137,59,6,148,45,19,146,167,327,183,75,8,0,185,191,bus
105,50,93,173,54,4,222,30,25,159,254,735,206,83,4,12,186,184,bus
91,46,75,185,75,7,154,42,19,147,178,362,192,72,8,8,192,199,bus
82,45,68,139,64,6,147,46,19,143,169,320,184,80,0,1,181,184,bus
89,44,72,160,66,7,144,46,19,147,166,312,169,69,11,1,191,198,bus
97,50,108,211,65,10,214,31,24,156,232,683,218,72,7,29,188,197,opel
101,56,100,204,62,12,227,30,25,178,231,757,204,73,0,11,186,197,opel
101,53,108,184,54,12,216,31,24,172,220,685,187,68,4,24,190,201,opel
93,34,66,140,56,7,130,51,18,120,151,251,114,62,5,29,201,207,opel
95,49,92,193,62,10,178,37,21,154,200,478,171,64,2,0,198,206,opel
100,51,104,163,52,10,206,32,23,164,217,631,193,69,5,21,188,196,opel
80,37,57,116,55,6,125,54,18,125,142,229,132,81,8,5,178,184,opel
89,50,83,195,65,6,178,37,21,156,207,481,210,71,1,6,189,194,opel
84,38,74,138,57,8,139,49,18,127,160,282,127,72,9,20,183,191,opel
76,38,58,125,58,5,133,51,18,127,152,259,145,87,0,21,177,184,opel
84,38,60,128,56,5,132,50,18,130,148,261,141,75,8,4,185,188,opel
101,49,103,212,67,10,201,33,23,156,215,601,174,69,4,11,189,196,opel
105,54,105,213,67,10,200,33,23,163,214,597,214,68,10,20,190,198,opel
92,46,82,170,58,8,165,40,20,149,181,409,164,61,8,11,200,208,opel
95,42,96,197,65,9,178,37,21,141,199,474,149,67,1,29,193,200,opel
85,39,77,151,59,8,150,45,19,134,176,331,133,73,0,16,184,193,opel
88,36,78,160,62,6,140,48,18,123,161,287,129,66,4,35,194,202,opel
85,38,72,130,53,9,134,51,18,132,145,261,123,65,1,24,188,198,opel
86,38,89,176,59,9,169,39,20,132,190,428,148,67,7,33,193,202,opel
89,36,69,142,57,7,135,50,18,126,154,266,128,66,3,36,193,203,opel
98,48,101,195,61,11,207,31,23,152,227,650,193,71,5,7,189,196,opel
89,35,70,138,58,7,126,53,17,128,147,237,112,64,4,19,199,207,van
90,48,85,157,64,11,161,43,20,167,175,375,186,74,3,16,185,195,van
91,38,70,160,66,25,140,47,18,139,162,296,130,67,4,11,192,202,van
93,46,82,145,58,11,159,43,20,160,180,371,189,77,2,4,183,194,van
91,42,80,162,66,8,148,44,19,145,171,331,147,70,3,5,189,199,van
86,35,44,110,54,2,119,57,17,121,139,208,137,90,6,1,180,183,van
89,40,79,154,64,9,144,46,19,139,168,311,149,71,8,7,188,197,van
86,37,69,150,63,8,138,48,18,134,163,284,124,71,1,6,189,195,van
98,38,70,125,52,8,130,53,18,139,157,243,132,74,0,13,186,185,van
86,37,60,115,54,5,119,56,17,132,141,209,129,72,2,8,186,190,van
88,39,76,155,62,8,137,48,18,137,156,281,124,63,3,6,201,209,van
86,39,58,125,55,5,117,57,17,134,140,204,148,69,7,6,190,194,van
90,44,69,152,64,7,135,49,18,145,165,272,162,75,3,2,187,191,van
88,43,84,136,55,11,154,44,19,150,174,350,164,73,6,2,185,196,van
93,41,79,159,63,8,144,46,19,150,165,309,134,67,4,9,195,203,van
94,49,87,137,54,11,158,43,20,162,178,366,186,75,5,5,183,194,van
98,44,78,160,63,8,142,47,18,148,160,300,171,63,19,2,201,207,van
91,43,70,133,55,8,130,51,18,146,159,253,156,70,1,8,190,194,van
95,48,83,178,72,10,162,42,20,159,176,379,184,70,6,16,187,197,van
