@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
96,37,74,199,74,5,165,39,20,128,188,419,136,72,1,3,196,200,bus
94,45,72,179,69,6,156,41,19,144,181,373,191,69,5,5,193,198,bus
83,46,68,139,59,6,150,44,19,146,172,336,183,74,5,3,185,191,bus
101,53,91,194,65,6,204,32,23,161,231,636,214,78,5,14,192,192,bus
85,44,66,125,58,6,148,45,19,145,170,323,185,84,8,1,180,183,bus
101,54,106,188,57,7,236,28,26,164,256,833,253,81,6,14,185,185,bus
86,43,70,126,56,6,148,46,19,145,166,317,171,86,6,9,179,182,bus
82,43,73,154,65,7,151,44,19,143,178,341,160,76,5,11,185,189,bus
82,41,70,155,64,7,148,45,19,138,172,328,152,72,5,17,187,195,bus
82,45,66,252,126,52,148,45,19,144,237,326,185,119,1,1,181,185,bus
110,56,103,223,64,5,250,26,27,169,280,928,239,85,4,6,184,183,bus
85,42,70,130,56,7,150,45,19,145,177,328,172,82,10,14,181,185,bus
85,42,66,120,53,7,149,45,19,145,173,325,163,85,5,4,180,182,bus
84,44,65,128,55,8,150,46,19,148,169,325,176,82,1,11,179,183,bus
83,44,70,166,69,5,143,46,18,143,166,306,170,69,7,6,188,193,bus
99,48,79,199,68,6,185,35,22,153,202,524,171,74,5,8,195,195,bus
85,43,66,123,56,6,148,46,19,145,166,319,171,85,6,11,179,182,bus
88,46,74,171,68,6,152,43,19,148,180,349,192,71,5,11,189,195,bus
79,47,74,141,61,7,153,43,19,149,175,349,199,77,6,10,183,189,bus
97,41,92,197,63,10,179,37,21,140,197,481,136,63,4,3,197,204,opel
96,55,103,201,65,9,204,32,23,166,227,624,246,74,6,2,186,194,opel
92,52,93,204,67,9,189,35,22,161,214,536,240,72,2,5,188,195,opel
98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186,195,opel
82,39,86,140,54,7,153,45,19,134,174,338,139,71,11,18,183,189,opel
98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188,197,opel
93,35,78,162,60,8,150,45,19,125,172,331,137,67,2,33,191,198,opel
97,46,101,210,66,8,192,35,22,151,208,546,169,66,1,32,191,200,opel
85,36,78,149,55,7,147,45,19,128,168,321,134,64,10,24,197,203,opel
107,56,105,202,61,11,221,30,25,179,234,725,212,72,15,1,189,196,opel
102,43,96,197,63,10,185,36,22,142,202,513,139,65,8,12,195,204,opel
100,55,101,189,57,10,222,30,25,177,225,731,211,71,7,17,188,197,opel
97,37,76,169,60,8,161,41,20,131,189,391,136,72,0,0,188,192,opel
96,54,104,175,58,10,215,31,24,175,221,682,222,75,13,23,186,194,opel
89,36,72,141,56,7,138,48,18,126,163,286,130,72,1,1,187,192,opel
78,36,60,116,56,6,123,55,17,124,141,221,121,78,3,16,178,185,opel
87,45,77,153,59,7,154,44,19,145,181,350,172,75,15,14,184,189,opel
106,55,98,224,68,11,215,31,24,170,222,679,214,68,2,29,189,201,opel
93,35,66,154,59,6,142,46,18,128,162,304,120,64,5,13,197,202,opel
106,49,107,194,57,11,214,31,24,161,224,670,172,67,0,39,192,206,opel
92,39,91,191,62,8,176,37,21,137,196,466,151,67,3,23,192,200,opel
85,45,80,154,64,9,147,45,19,148,169,324,174,71,1,4,188,199,van
93,40,73,139,58,6,136,49,18,138,166,275,137,73,0,0,187,188,van
85,45,73,167,69,8,143,46,18,148,173,307,176,71,2,0,190,199,van
84,44,80,140,58,11,156,44,20,157,166,349,176,74,5,17,183,193,van
95,46,76,162,66,11,162,42,20,155,175,381,172,74,8,4,184,193,van
90,47,73,136,58,11,161,42,20,153,172,376,185,77,11,8,183,191,van
94,46,91,175,70,12,157,43,20,155,172,358,192,69,15,21,190,200,van
85,35,64,129,57,6,116,57,17,125,138,200,123,65,1,23,196,203,van
97,45,88,173,67,10,157,43,20,157,173,365,157,67,8,12,192,200,van
88,34,58,140,59,6,127,52,18,130,148,243,113,63,4,10,199,206,van
89,42,89,147,61,11,151,44,19,145,170,338,163,72,11,23,187,199,van
89,38,74,138,59,7,136,49,18,133,167,278,128,72,7,7,189,193,van
89,40,77,159,65,9,144,46,19,141,168,314,143,70,0,5,190,200,van
90,47,85,161,64,10,163,42,20,160,177,389,185,73,9,0,185,195,van
93,43,85,133,54,10,155,44,19,153,174,351,165,75,12,13,184,196,van
96,46,88,174,68,10,155,43,19,148,173,354,182,69,14,15,194,202,van
89,46,77,125,52,10,156,44,20,160,171,351,177,78,7,17,183,191,van
90,43,66,157,65,9,137,48,18,146,162,281,164,67,3,3,193,202,van
97,47,87,164,64,9,156,43,20,149,173,359,182,68,1,13,192,202,van
104,52,100,191,59,9,197,33,23,158,218,583,234,70,10,10,191,198,saab
