@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
85,43,66,120,54,5,148,46,19,145,168,320,174,87,8,2,179,181,bus
81,46,71,130,56,7,153,44,19,149,172,342,191,81,3,14,180,186,bus
82,43,71,154,68,7,150,45,19,143,171,330,173,78,7,11,181,186,bus
89,44,68,113,50,7,150,45,19,147,171,328,189,88,6,5,179,182,bus
85,45,65,128,56,8,151,45,19,145,170,332,186,81,1,10,179,184,bus
110,56,109,199,57,5,251,27,27,169,272,928,268,82,11,10,183,183,bus
102,45,83,198,65,5,194,33,22,146,225,576,167,79,0,27,193,191,bus
88,44,71,165,70,7,144,46,19,141,167,312,172,71,4,4,188,193,bus
98,35,70,182,68,5,155,41,19,124,184,371,117,71,3,22,202,205,bus
82,45,68,150,69,5,148,45,19,144,169,322,184,80,5,0,181,184,bus
105,46,100,195,61,9,193,34,22,150,207,557,161,65,5,9,194,202,opel
80,36,69,127,56,7,128,53,18,124,147,240,133,70,2,21,183,191,opel
109,51,100,197,59,10,192,34,22,161,210,553,195,64,14,3,196,202,opel
103,54,91,179,57,11,220,31,25,170,220,707,198,72,1,32,186,198,opel
86,44,77,155,60,7,152,44,19,141,174,345,161,72,9,0,187,192,opel
99,54,100,199,62,9,200,33,23,166,222,600,241,70,2,7,189,198,opel
78,36,51,116,56,4,120,57,17,124,135,209,135,84,1,12,177,184,opel
92,46,79,176,64,8,162,41,20,149,183,396,178,67,2,10,191,198,opel
85,36,72,127,56,7,127,54,18,125,144,233,123,70,3,30,184,194,opel
87,38,85,177,61,8,164,40,20,129,186,402,130,63,1,25,198,205,opel
93,47,83,165,60,7,167,40,20,147,197,417,201,73,12,4,187,192,opel
96,55,98,161,54,10,215,31,24,175,226,683,221,76,3,6,185,193,opel
86,37,77,144,54,7,154,43,19,127,179,352,145,71,14,13,186,191,opel
93,43,78,166,59,7,151,44,19,141,182,342,174,68,15,2,193,197,opel
97,59,108,227,70,11,224,30,25,186,225,732,218,70,10,25,186,198,opel
89,40,69,147,58,6,132,50,18,137,155,260,151,61,16,6,203,209,opel
101,48,107,222,68,10,208,32,24,154,232,641,204,70,5,38,190,202,opel
88,34,69,152,57,5,138,48,18,122,158,284,120,62,9,29,204,210,opel
95,57,104,228,74,10,212,31,24,175,224,670,223,74,0,4,186,193,opel
111,54,103,171,50,11,221,30,25,172,227,727,201,69,15,6,190,198,opel
95,51,96,196,63,9,190,35,22,161,208,543,235,68,13,0,191,198,opel
91,39,77,153,59,8,139,48,18,139,159,289,123,62,8,17,201,209,van
96,39,64,111,48,8,134,52,18,141,160,258,139,80,7,20,183,184,van
90,46,73,137,58,11,161,43,20,158,170,373,186,76,0,9,182,193,van
95,44,84,158,62,10,145,46,19,148,163,312,166,64,10,6,199,206,van
98,44,88,176,67,10,158,43,20,149,173,367,154,66,14,9,194,202,van
85,45,82,133,56,11,159,43,20,156,170,362,173,76,10,21,183,193,van
93,41,75,124,51,7,140,49,18,141,164,284,149,77,5,15,184,185,van
93,39,78,164,66,8,139,48,18,140,157,290,126,64,4,7,201,208,van
92,40,66,111,48,7,139,50,19,140,159,277,148,85,12,19,182,183,van
89,47,83,322,133,48,158,43,20,163,229,364,176,97,0,14,184,194,van
89,47,80,131,54,11,160,43,20,163,175,369,174,77,1,7,182,193,van
87,37,52,116,54,6,115,58,17,126,135,196,144,74,11,22,186,190,van
93,47,85,161,65,12,155,43,19,157,179,354,178,76,2,9,184,196,van
94,50,84,138,57,10,156,44,20,170,171,351,187,77,5,6,182,191,van
83,45,73,161,68,8,142,46,18,144,169,305,179,71,10,3,191,199,van
95,41,82,170,65,9,145,46,19,145,163,314,140,64,4,8,199,207,van
90,48,78,134,56,11,160,43,20,167,169,366,185,76,1,14,182,192,van
91,42,66,142,58,9,134,50,18,142,163,268,164,69,6,5,191,197,van
100,46,85,164,64,11,163,42,20,163,176,387,170,71,18,0,189,196,van
88,44,84,135,55,12,155,44,20,158,176,351,164,75,7,11,183,195,van
83,37,49,112,55,5,122,55,17,128,144,219,146,85,8,16,180,184,van
