@relation ionosphere
@attribute a01 real [0,1]
@attribute a02 real [0,0]
@attribute a03 real [-1,1]
@attribute a04 real [-1,1]
@attribute a05 real [-1,1]
@attribute a06 real [-1,1]
@attribute a07 real [-1,1]
@attribute a08 real [-1,1]
@attribute a09 real [-1,1]
@attribute a10 real [-1,1]
@attribute a11 real [-1,1]
@attribute a12 real [-1,1]
@attribute a13 real [-1,1]
@attribute a14 real [-1,1]
@attribute a15 real [-1,1]
@attribute a16 real [-1,1]
@attribute a17 real [-1,1]
@attribute a18 real [-1,1]
@attribute a19 real [-1,1]
@attribute a20 real [-1,1]
@attribute a21 real [-1,1]
@attribute a22 real [-1,1]
@attribute a23 real [-1,1]
@attribute a24 real [-1,1]
@attribute a25 real [-1,1]
@attribute a26 real [-1,1]
@attribute a27 real [-1,1]
@attribute a28 real [-1,1]
@attribute a29 real [-1,1]
@attribute a30 real [-1,1]
@attribute a31 real [-1,1]
@attribute a32 real [-1,1]
@attribute a33 real [-1,1]
@attribute a34 real [-1,1]
@attribute class {b,g}
@data
1,0,-0.5418,0.14861,-0.33746,0.73375,0.52012,-0.13932,0.31889,-0.06811,0.20743,-0.1517,0.47368,0.08978,0.56347,-0.1548,0.16409,0.45201,0.33746,0.03406,0.50464,0.07121,-0.63777,-0.6161,1,0.65635,0.41348,-0.40116,-0.1517,0.11146,0.02399,0.5582,0.52632,-0.08978,b
1,0,0,0,-1,-0.62766,1,0.51064,0.07979,-0.23404,-1,-0.3617,0.12766,-0.59043,1,-1,0,0,0.82979,-0.07979,-0.25,1,0.17021,-0.70745,0,0,-0.19149,-0.46809,-0.2234,-0.48936,0.74468,0.90426,-0.67553,0.45745,b
1,0,0.21429,-0.09524,0.33333,0.07143,0.19048,0.19048,0.2381,0.09524,0.40476,0.02381,0.30952,-0.04762,0.30952,-0.04762,0.28571,-0.11905,0.33333,0.04762,0.30952,0,0.21429,-0.11905,0.35714,-0.04762,0.22109,-0.0229,0.19048,0,0.16997,-0.02034,0.14694,-0.01877,g
1,0,0.97467,0.13082,0.9412,0.20036,0.88783,0.32248,0.89009,0.32711,0.8555,0.45217,0.72298,0.52284,0.69946,0.5882,0.58548,0.66893,0.48869,0.70398,0.44245,0.68159,0.35289,0.75622,0.26832,0.7621,0.16813,0.78541,0.07497,0.80439,-0.02962,0.77702,-0.10289,0.74242,g
1,0,0.76296,-0.07778,1,-0.2963,1,-0.85741,0.8,0.06111,0.45556,-0.42778,1,-0.12581,1,-0.83519,0.49259,0.01852,0.82222,-0.05926,0.98215,-0.19938,1,0.22037,0.6963,-0.26481,0.92148,-0.24549,0.78889,0.02037,0.87492,-0.27105,1,-0.57037,g
1,0,0.9449,-0.49311,1,-0.03692,0.98898,-0.87052,0.90083,0.66942,1,-0.10104,1,-0.12493,1,-0.15017,1,-0.17681,1,-0.20491,1,-0.23452,1,-0.26571,1,-0.29852,1,-0.33304,1,-0.36931,1,-0.4074,1,-0.44739,g
1,0,0.95202,0.02254,0.93757,-0.01272,0.93526,0.01214,0.96705,-0.01734,0.96936,0.0052,0.95665,-0.03064,0.9526,-0.00405,0.9948,-0.02659,0.99769,0.01792,0.93584,-0.04971,0.93815,-0.0237,0.97052,-0.04451,0.96215,-0.01647,0.97399,0.01908,0.95434,-0.0341,0.95838,0.00809,g
1,0,0.96071,0.07088,1,0.04296,1,0.09313,0.90169,-0.05144,0.89263,0.0258,0.8325,-0.06142,0.87534,0.09831,0.76544,0.0028,0.75206,-0.05295,0.65961,-0.07905,0.64158,-0.05929,0.55677,-0.07705,0.58051,-0.02205,0.49664,-0.01251,0.5131,-0.00015,0.52099,-0.00182,g
1,0,1,0.67784,0.81309,0.82021,0.43019,1,0.20619,0.80541,-0.43872,1,-0.79135,0.77092,-1,0.40268,-0.39046,-0.58634,-0.97907,-0.42822,-0.73083,-0.76339,-0.37671,-0.97491,0.41366,-1,0.41778,-0.93296,0.25773,-1,0.9357,-0.35222,0.98816,0.03446,g
1,0,0.7479,0.0084,0.83312,0.01659,0.82638,0.02469,0.86555,0.01681,0.60504,0.05882,0.79093,0.04731,0.77441,0.05407,0.64706,0.19328,0.84034,0.04202,0.71285,0.07122,0.68895,0.07577,0.66387,0.08403,0.63728,0.08296,0.61345,0.01681,0.58187,0.08757,0.5533,0.08891,g
1,0,0.50112,-0.03596,0.61124,0.01348,0.58876,0.01573,0.58876,0.02472,0.66742,-0.00449,0.71685,-0.04719,0.66517,0.00899,0.57303,0.02472,0.64719,-0.07416,0.56854,0.14157,0.57528,-0.03596,0.46517,0.04944,0.56588,0.00824,0.4764,-0.03596,0.54607,0.10562,0.60674,-0.0809,g
1,0,0.89835,0.35157,0.67333,0.62233,0.43898,0.94353,-0.03643,0.8051,-0.22838,0.75334,-0.25137,0.48816,-0.57377,0.28415,-0.6675,0.10591,-0.47359,-0.06193,-0.81056,-0.06011,-0.33197,-0.47592,-0.12897,-0.5362,0.07158,-0.51925,0.24321,-0.43478,0.36586,-0.30057,0.42805,0.13297,g
1,0,0.94331,0.19959,0.96132,0.40803,0.80514,0.56569,0.56687,0.7083,0.41836,0.8323,0.14939,0.89489,0.05167,0.93682,-0.24742,0.83939,-0.42811,0.75554,-0.50251,0.62563,-0.65515,0.50428,-0.68851,0.30912,-0.77097,0.15619,-0.75406,-0.04399,-0.75199,-0.17921,-0.66932,-0.34367,g
1,0,0.81143,0.03714,0.85143,-0.00143,0.79,0.00714,0.79571,-0.04286,0.87571,0,0.85571,-0.06714,0.86429,0.00286,0.82857,-0.05429,0.81,-0.11857,0.76857,-0.08429,0.84286,-0.05,0.77,-0.06857,0.81598,-0.08669,0.82571,-0.10429,0.81429,-0.05,0.82143,-0.15143,g
1,0,0.95113,0.00419,0.95183,-0.02723,0.93438,-0.0192,0.9459,0.01606,0.9651,0.03281,0.94171,0.0733,0.94625,-0.01326,0.97173,0.0014,0.94834,0.06038,0.9267,0.08412,0.93124,0.10087,0.9452,0.01361,0.93522,0.04925,0.93159,0.08168,0.94066,-0.00035,0.91483,0.04712,g
1,0,1,1,1,1,0.9101,1,-0.2697,1,-0.83152,1,-1,1,-1,0.72526,-1,-0.57779,-1,-0.42052,-1,-1,-0.52838,-1,0.90014,-1,1,-1,1,-1,1,-0.34686,1,0.34845,g
1,0,1,0.16195,1,-0.05558,1,0.01373,1,-0.12352,1,-0.01511,1,-0.01731,1,-0.06374,1,-0.07157,1,0.059,1,-0.10108,1,-0.02685,1,-0.22978,1,-0.06823,1,0.08299,1,-0.14194,1,-0.07439,g
1,0,1,-0.08714,1,-0.17263,0.86635,-0.81779,0.94817,0.61053,0.95473,-0.41382,0.88486,-0.31736,0.87937,-0.23433,0.81051,-0.6218,0.12245,-1,0.90284,0.11053,0.62357,-0.78547,0.55389,-0.82868,0.48136,-0.86583,0.4065,-0.89674,0.32984,-0.92128,-0.13341,-1,g
1,0,0.95559,-0.00155,0.86421,-0.13244,0.94982,-0.00461,0.82809,-0.51171,0.92441,0.10368,1,-0.14247,0.99264,-0.02542,0.95853,-0.15518,0.84013,0.61739,1,-0.16321,0.87492,-0.08495,0.85741,-0.01664,0.84132,-0.01769,0.82427,-0.01867,0.80634,-0.01957,0.78761,-0.02039,g
1,0,1,-0.02259,1,-0.04494,1,-0.06682,1,-0.08799,1,0.56173,1,-0.12738,1,-0.14522,1,0.32407,1,-0.17639,0.99484,-0.18949,0.95601,-0.20081,1,-0.92284,0.8728,-0.21793,0.8292,-0.2237,0.78479,-0.22765,0.73992,-0.22981,g
1,0,0.75564,0.49638,0.8355,0.54301,0.54916,0.72063,0.35225,0.70792,0.13469,0.94749,-0.09818,0.93778,-0.37604,0.82223,-0.52742,0.71161,-0.68358,0.67989,-0.70163,0.24956,-0.79147,0.02995,-0.98988,-0.29099,-0.70352,-0.32792,-0.63312,-0.19185,-0.34131,-0.60454,-0.19609,-0.62956,g
1,0,0.96355,-0.07198,1,-0.14333,1,-0.21313,1,-0.36174,0.9257,-0.43569,0.9451,-0.40668,0.90392,-0.46381,0.98305,-0.35257,0.84537,-0.6602,0.75346,-0.60589,0.69637,-0.64225,0.85106,-0.6544,0.57577,-0.69712,0.25435,-0.63919,0.45114,-0.72779,0.38895,-0.7342,g
1,0,0.32834,0.0252,0.15236,0.21278,0.14919,0.74003,-0.25706,0.92324,-0.10312,0.1938,-0.61352,0.25786,-0.94053,-0.05409,-0.13117,-0.14329,-0.30315,-0.44615,-0.11409,-0.85597,0.02668,-0.22786,0.27942,-0.06295,0.33737,-0.11876,0.27657,-0.11409,0.15078,0.13296,0.12197,0.20468,g
1,0,1,0.23058,1,-0.78509,1,-0.10401,1,0.15414,1,0.2782,0.9812,-0.06861,1,0.0661,0.95802,-0.18954,0.83584,-0.15633,0.974,0.03728,0.99624,0.09242,1,-0.01253,0.96238,-0.04597,0.91165,0.03885,1,-0.13722,0.96523,-0.11717,g
